source,Region,Date,estimated_fire_area,mean_estimated_fire_brightness,mean_estimated_fire_radiative_power,mean_confidence,std_confidence,var_confidence,count,replaced
Jan_16,QL,01/01/2021,0,0.762187706,49.9,0.802547771,0.837336224,0.830475578,1,"N"
Jan_16,WA,01/01/2021,0.60502928,0.671187669,134.28,0.695541401,0.894420785,0.881071307,40,"N"
Jan_16,QL,31/12/2020,0.112852388,0.534309739,24.86666667,0.282377919,0.779303524,0.748206374,3,"N"
Jan_16,WA,31/12/2020,0.269979147,0.699621677,154.175,0.746815287,0.977861742,0.975265182,4,"N"
Jan_16,QL,30/12/2020,0.218138617,0.581141086,34.8,0.231847134,0.780972526,0.75015978,5,"N"
Jan_16,WA,30/12/2020,0.330444548,0.61555383,45.08,0.512738853,0.866874004,0.849606711,10,"N"
Jan_16,NSW,29/12/2020,0.235392012,0.258219678,35.66666667,0.624203822,0.594382505,0.526314625,3,"N"
Jan_16,QL,29/12/2020,0.071489907,0.705765168,45.65,0.73566879,0.793241292,0.764493432,2,"N"
Jan_16,WA,29/12/2020,0.266005367,0.501756079,28.92857143,0.350318471,0.723461279,0.682350845,7,"N"
Jan_16,QL,28/12/2020,0.316293478,0.608168369,136.575,0.546178344,0.588945787,0.519630159,4,"N"
Jan_16,WA,28/12/2020,0.071489907,0.722746099,55.15,0.601910828,1,1,2,"N"
Jan_16,QL,27/12/2020,0.476221178,0.552652086,54.16086957,0.606757131,0.849385826,0.829528264,23,"N"
Jan_16,WA,27/12/2020,0.240366459,0.663464219,46.3875,0.496019108,0.834998799,0.812948089,8,"N"
Jan_16,QL,26/12/2020,0.105431159,0.421921817,17.7,0.698513801,0.827333425,0.804090745,3,"N"
Jan_16,WA,26/12/2020,0.066660771,0.19287344,13.5,0.312101911,0.949028574,0.942895333,2,"N"
Jan_16,QL,24/12/2020,0.217739343,0.528090505,40.5,0.570700637,0.995634663,0.99513056,5,"N"
Jan_16,WA,24/12/2020,0.173313664,0.896757223,69.43333333,0.653927813,0.879278889,0.863799981,3,"N"
Jan_16,QL,23/12/2020,0.449527943,0.636852276,35.57428571,0.445859873,0.860362845,0.842140697,35,"N"
Jan_16,VI,23/12/2020,0.083810989,0.561445516,40,0.089171975,0.837336224,0.830475578,1,"N"
Jan_16,WA,23/12/2020,0.08160333,0.27799326,11.2,0.312101911,0,0,2,"N"
Jan_16,QL,22/12/2020,0.447213196,0.401556867,115.6333333,0.55980184,0.856454564,0.837653854,9,"N"
Jan_16,WA,22/12/2020,0.321503143,0.450087971,40.05,0.562898089,0.841176159,0.820074105,8,"N"
Jan_16,QL,21/12/2020,0.533327453,0.658159153,45.14,0.498471338,0.812516672,0.786922773,50,"N"
Jan_16,QL,20/12/2020,0.57868807,0.471698539,44.59655172,0.548100154,0.89919301,0.88650271,58,"N"
Jan_16,QL,19/12/2020,0.414990244,0.59949654,55.01764706,0.550768078,0.860449629,0.842240282,17,"N"
Jan_16,WA,19/12/2020,0.091086033,0.229715706,13.75,0.267515924,0.3501666,0.225429681,2,"N"
Jan_16,QL,18/12/2020,0.462361079,0.633922851,72.38695652,0.600941567,0.934033587,0.925988422,23,"N"
Jan_16,WA,18/12/2020,0.578653725,0.836218089,118.04,0.83910828,0.819850381,0.795428084,50,"N"
Jan_16,QL,17/12/2020,0.472450383,0.594236671,57.77142857,0.397027601,0.782284041,0.75169419,21,"N"
Jan_16,WA,17/12/2020,0.319956573,0.847159742,101.97,0.851592357,0.841250145,0.820159389,10,"N"
Jan_16,QL,16/12/2020,0.427690305,0.591831476,53.45,0.460721868,0.849091551,0.829189698,18,"N"
Jan_16,WA,16/12/2020,0.184342295,0.792768996,50.3,0.49044586,0.658250823,0.604183974,4,"N"
Jan_16,QL,15/12/2020,0.34531725,0.550435977,29.30625,0.504378981,0.8386015,0.817105342,16,"N"
Jan_16,WA,15/12/2020,0.403635654,0.724002092,58.42666667,0.392356688,0.850885048,0.831252764,15,"N"
Jan_16,QL,14/12/2020,0.275049783,0.660339691,58,0.603937464,0.920617593,0.910817969,11,"N"
Jan_16,WA,14/12/2020,0.506499659,0.797284987,220.085,0.713375796,0.831853966,0.809316225,20,"N"
Jan_16,NT,13/12/2020,0.022575427,0.627811457,33.7,0.535031847,0.837336224,0.830475578,1,"N"
Jan_16,QL,13/12/2020,0.462240949,0.57689833,35.1,0.381953291,0.769374172,0.736567495,30,"N"
Jan_16,WA,13/12/2020,0.508358499,1,415.4551724,0.947067867,0.663068395,0.61000587,29,"N"
Jan_16,NSW,12/12/2020,0.190551525,1,136.45,0.94373673,0.823174851,0.799278583,6,"N"
Jan_16,NT,12/12/2020,0.165703708,0.555640731,33.85,0.345541401,0.719952746,0.678180253,4,"N"
Jan_16,QL,12/12/2020,0.45006939,0.663107519,83.07727273,0.551244933,0.860887443,0.842742643,22,"N"
Jan_16,TA,12/12/2020,0,0.349959713,12.6,0,0.837336224,0.830475578,1,"N"
Jan_16,VI,12/12/2020,0.061673275,0.687790073,23.2,0.289808917,0.922379807,0.912813042,2,"N"
Jan_16,WA,12/12/2020,0.549842405,0.803239186,228.2571429,0.668789809,0.832775035,0.810380225,21,"N"
Jan_16,NT,11/12/2020,0.360170149,0.762967736,40.19444444,0.641542817,0.851342306,0.83177861,18,"N"
Jan_16,QL,11/12/2020,0.703913382,0.670920062,50.90070423,0.516506683,0.850973754,0.83135478,142,"N"
Jan_16,SA,11/12/2020,0.305395602,0.803471655,45.5875,0.334394904,0.843094141,0.822284485,8,"N"
Jan_16,TA,11/12/2020,0.051179113,0.39383367,40.8,0.356687898,0.837336224,0.830475578,1,"N"
Jan_16,WA,11/12/2020,0.686316343,0.892747087,125.8978261,0.642619773,0.86093844,0.842801156,92,"N"
Jan_16,NSW,10/12/2020,0.139372412,0.306275873,31.5,0.222929936,0.658250823,0.604183974,2,"N"
Jan_16,NT,10/12/2020,0.49195378,0.811871391,57.35789474,0.571404626,0.865317438,0.847822896,38,"N"
Jan_16,QL,10/12/2020,0.636359347,0.572893967,103.8525,0.426910828,0.834058578,0.811862549,40,"N"
Jan_16,VI,10/12/2020,0.12767842,0.466598918,33.2,0.445859873,0.747780854,0.711151464,3,"N"
Jan_16,WA,10/12/2020,0.496970415,0.719565728,85.445,0.80366242,0.759379735,0.724821743,40,"N"
Jan_16,NSW,09/12/2020,0.21284571,0.536980144,40.05,0.323248408,0.832832076,0.810446108,4,"N"
Jan_16,NT,09/12/2020,0.610959757,0.705727877,54.33157895,0.535031847,0.883254962,0.868340855,76,"N"
Jan_16,QL,09/12/2020,0.438153994,0.484575515,60.875,0.341825902,0.786637562,0.756783882,12,"N"
Jan_16,WA,09/12/2020,0.329633937,0.583887682,57.54166667,0.464437367,0.778574624,0.747353002,12,"N"
Jan_16,NT,08/12/2020,0.298336492,0.650252578,65.21666667,0.416135881,0.790536941,0.761337802,6,"N"
Jan_16,QL,08/12/2020,0.53736903,0.5201209,44.22244898,0.459508644,0.881181145,0.865972958,49,"N"
Jan_16,WA,08/12/2020,0.139372412,0.327905341,32.425,0.713375796,0.956253035,0.951022928,4,"N"
Jan_16,NT,07/12/2020,0.649172826,0.561795275,45.57978723,0.415977775,0.82728705,0.804037109,94,"R"
Jan_16,QL,07/12/2020,0.472007044,0.529312634,62.31904762,0.40552017,0.834785276,0.812701586,21,"R"
Jan_16,WA,07/12/2020,0.413851176,0.566830793,63.01428571,0.363057325,0.801907868,0.774591585,14,"R"
Jan_16,NSW,06/12/2020,0.148235405,0.336435683,21.1,0.222929936,0.690812443,0.643387542,4,"R"
Jan_16,NT,06/12/2020,0.497267206,0.547961748,59.875,0.402866242,0.871612705,0.855033311,28,"R"
Jan_16,QL,06/12/2020,0.336837302,0.482127239,23.7125,0.339968153,0.684628904,0.635969137,16,"R"
Jan_16,VI,06/12/2020,0,0.64405361,82.8,0.98089172,0.837336224,0.830475578,1,"R"
Jan_16,WA,06/12/2020,0.414969784,0.415456339,63.21,0.494904459,0.922002502,0.912385942,10,"R"
Jan_16,NSW,05/12/2020,0.383880177,0.365236983,162.7285714,0.420382166,0.881802009,0.86668198,7,"R"
Jan_16,NT,05/12/2020,0.754744186,0.630987532,48.73207547,0.414523495,0.835134594,0.813104851,212,"R"
Jan_16,QL,05/12/2020,0.353693521,0.405910698,34.63333333,0.505307855,0.902295523,0.890030742,12,"R"
Jan_16,SA,05/12/2020,0.169618624,0.382496197,27.82,0.41910828,0.390670011,0.273935461,5,"R"
Jan_16,WA,05/12/2020,0.71118942,0.554733787,65.66576577,0.449876628,0.839200373,0.817796048,111,"R"
Jan_16,NSW,04/12/2020,0.199823953,0.380903307,41.15,0.323248408,0.764633437,0.730999894,4,"R"
Jan_16,QL,04/12/2020,0.36061921,0.532184728,35.2625,0.487659236,0.852550371,0.833167611,16,"R"
Jan_16,TA,04/12/2020,0.095614527,0.402769634,48.9,0.423566879,1,1,2,"R"
Jan_16,VI,04/12/2020,0.269548864,0.44024784,27.1,0.277423921,0.798236018,0.770315916,9,"R"
Jan_16,WA,04/12/2020,0.105431159,0.482943439,15.2,0.148619957,0.642704133,0.58534553,3,"R"
Jan_16,NSW,03/12/2020,0.311870348,0.410135627,52.31428571,0.700636942,0.916065942,0.905661454,7,"R"
Jan_16,QL,03/12/2020,0.104286072,0.663583114,52.25,0.445859873,0.829668538,0.806790717,2,"R"
Jan_16,TA,03/12/2020,0.126689651,0.482616972,108.1,0.133757962,0.837336224,0.830475578,1,"R"
Jan_16,WA,03/12/2020,0.473827828,0.790253507,109.305,0.474840764,0.862275045,0.844334485,20,"R"
Jan_16,NSW,02/12/2020,0.02962155,0.728396054,25.2,0.356687898,0.837336224,0.830475578,1,"R"
Jan_16,NT,02/12/2020,0.321838081,0.674321824,98.34,0.401273885,0.736578606,0.697908486,5,"R"
Jan_16,QL,02/12/2020,0.63013651,0.795863997,76.59852941,0.568471338,0.854106984,0.834956781,68,"R"
Jan_16,NSW,01/12/2020,0.753126684,0.427398207,148.9460784,0.579180717,0.88482925,0.870137654,102,"R"
Jan_16,NT,01/12/2020,0.523577596,0.618198938,84.668,0.538598726,0.786008056,0.756048281,25,"R"
Jan_16,QL,01/12/2020,0.59503568,0.540218239,47.78103448,0.586536349,0.881908981,0.866804131,58,"R"
Jan_16,SA,01/12/2020,0.338255754,0.789896287,53.87333333,0.546921444,0.932109522,0.923815314,15,"R"
Jan_16,TA,01/12/2020,0.366996519,0.299595688,91.0375,0.657643312,0.743461808,0.70605031,8,"R"
Jan_16,VI,01/12/2020,0.823980889,0.461931738,162.7318182,0.660104227,0.904202963,0.892198617,154,"R"
Jan_16,WA,01/12/2020,0.596793192,0.782164399,405.8708333,0.655785562,0.896049893,0.882926077,24,"R"
Jan_16,NSW,30/11/2020,0.091086033,0.777613993,59.6,0.757961783,0.3501666,0.225429681,2,"N"
Jan_16,NT,30/11/2020,0.566750775,0.668747454,67.50454545,0.654603358,0.889020728,0.874918489,44,"N"
Jan_16,QL,30/11/2020,0.764594563,0.746358329,59.14046512,0.609480077,0.869403583,0.852504231,215,"N"
Jan_16,WA,30/11/2020,0.400518763,0.626307924,50.21428571,0.592356688,0.89397689,0.880565809,14,"N"
Jan_16,NSW,29/11/2020,0.209525543,0.455951747,32.03333333,0.468152866,0.987995568,0.986600045,6,"N"
Jan_16,NT,29/11/2020,0.607317998,0.815872837,93.85285714,0.660509554,0.889493383,0.875457324,70,"N"
Jan_16,QL,29/11/2020,0.717247309,0.538059425,99.35284553,0.627828698,0.889251536,0.875181621,123,"N"
Jan_16,SA,29/11/2020,0.360221029,0.782347678,138.8857143,0.662420382,0.918039262,0.907897612,7,"N"
Jan_16,WA,29/11/2020,0.423379254,0.677264581,65.7,0.470382166,0.891848947,0.878141871,20,"N"
Jan_16,NSW,28/11/2020,0.223621113,0.964511775,79.95714286,0.968152866,0.635115051,0.576121732,7,"N"
Jan_16,NT,28/11/2020,0.407563754,0.540876579,44.38823529,0.396028475,0.857828377,0.839231504,17,"N"
Jan_16,QL,28/11/2020,0.661789499,0.776294408,53.71565217,0.573414567,0.875778364,0.859798842,115,"N"
