region,Date,source,vegetation_index_mean,vegetation_index_max,vegetation_index_min,vegetation_index_std,vegetation_index_variance
NSW,01-01-18,Jan_16,0.365902957,0.995799959,-0.199999988,0.195630296,0.038271213
NSW,02-01-18,Jan_16,0.360724495,0.984599948,-0.199999988,0.197956331,0.039186709
NSW,03-01-18,Jan_16,0.375255939,0.974599957,-0.199999988,0.207958143,0.043246589
NSW,04-01-18,Jan_16,0.377366173,0.974999964,-0.199999988,0.210328148,0.04423793
NSW,05-01-18,Jan_16,0.379137624,0.981399953,-0.199999988,0.208621069,0.043522751
NSW,06-01-18,Jan_16,0.400967249,0.989199996,-0.199999988,0.210367814,0.044254617
NSW,07-01-18,Jan_16,0.39284065,0.979499996,-0.199999988,0.206466968,0.042628609
NSW,08-01-18,Jan_16,0.379641566,0.993399978,-0.199999988,0.206470601,0.042630109
NSW,09-01-18,Jan_16,0.363466077,0.979499996,-0.199999988,0.200476529,0.040190839
NSW,10-01-18,Jan_16,0.355398248,0.992899954,-0.199999988,0.198053177,0.039225061
NSW,11-01-18,Jan_16,0.347293352,0.994799972,-0.199999988,0.201826475,0.040733926
NSW,12-01-18,Jan_16,0.334104299,0.98969996,-0.199999988,0.197359748,0.03895087
NSW,13-01-18,Jan_16,0.334088515,0.989703067,-0.199999988,0.197376181,0.038957452
NSW,14-01-18,Jan_16,0.334072731,0.989706175,-0.199999988,0.197392615,0.038964034
NSW,15-01-18,Jan_16,0.334056948,0.989709282,-0.199999988,0.197409048,0.038970617
NSW,16-01-18,Jan_16,0.334041164,0.989712389,-0.199999988,0.197425482,0.038977199
NSW,17-01-18,Jan_16,0.33402538,0.989715497,-0.199999988,0.197441915,0.038983781
NSW,18-01-18,Jan_16,0.334009596,0.989718604,-0.199999988,0.197458349,0.038990363
NSW,19-01-18,Jan_16,0.333993812,0.989721711,-0.199999988,0.197474782,0.038996945
NSW,20-01-18,Jan_16,0.333978029,0.989724819,-0.199999988,0.197491216,0.039003528
NSW,21-01-18,Jan_16,0.333962245,0.989727926,-0.199999988,0.197507649,0.03901011
NSW,22-01-18,Jan_16,0.333946461,0.989731034,-0.199999988,0.197524083,0.039016692
NSW,23-01-18,Jan_16,0.333930677,0.989734141,-0.199999988,0.197540516,0.039023274
NSW,24-01-18,Jan_16,0.333914893,0.989737248,-0.199999988,0.197556949,0.039029856
NSW,25-01-18,Jan_16,0.33389911,0.989740356,-0.199999988,0.197573383,0.039036439
NSW,26-01-18,Jan_16,0.333883326,0.989743463,-0.199999988,0.197589816,0.039043021
NSW,27-01-18,Jan_16,0.333867542,0.98974657,-0.199999988,0.19760625,0.039049603
NSW,28-01-18,Jan_16,0.333851758,0.989749678,-0.199999988,0.197622683,0.039056185
NSW,29-01-18,Jan_16,0.333835974,0.989752785,-0.199999988,0.197639117,0.039062768
NSW,30-01-18,Jan_16,0.333820191,0.989755892,-0.199999988,0.19765555,0.03906935
NSW,31-01-18,Jan_16,0.333804407,0.989759,-0.199999988,0.197671984,0.039075932
NSW,01-02-18,Jan_16,0.333788623,0.989762107,-0.199999988,0.197688417,0.039082514
NSW,02-02-18,Jan_16,0.333772839,0.989765214,-0.199999988,0.19770485,0.039089096
NSW,03-02-18,Jan_16,0.333757055,0.989768322,-0.199999988,0.197721284,0.039095679
NSW,04-02-18,Jan_16,0.333741272,0.989771429,-0.199999988,0.197737717,0.039102261
