Source,Region,Date,Vegetation_index_mean,Vegetation_index_max,Vegetation_index_min,Vegetation_index_std,Vegetation_index_variance
Jan_09,NSW,01-01-05,0.349202013,0.997199953,-0.199999988,0.204861658,0.041968299
Jan_09,NSW,02-01-05,0.35740272,0.977199972,-0.199999988,0.208672808,0.043544341
Jan_09,NSW,03-01-05,0.354086901,0.974999964,-0.199999988,0.209450457,0.043869494
Jan_09,NSW,04-01-05,0.347242212,0.990399957,-0.199999988,0.207306677,0.042976058
Jan_09,NSW,05-01-05,0.345525727,0.997199953,-0.199999988,0.202858051,0.041151389
Jan_09,NSW,06-01-05,0.399652424,0.960199952,-0.199999988,0.188569978,0.035558637
Jan_09,NSW,07-01-05,0.451143018,0.955499947,-0.199999988,0.174266677,0.030368875
Jan_09,NSW,08-01-05,0.498218123,0.978199959,-0.199999988,0.181103059,0.032798318
Jan_09,NSW,09-01-05,0.505553223,0.980499983,-0.199999988,0.204202021,0.041698465
Jan_09,NSW,10-01-05,0.439442725,0.981399953,-0.199999988,0.214670716,0.046083517
Jan_09,NSW,11-01-05,0.393166262,0.99149996,-0.199999988,0.20618776,0.042513392
Jan_09,NSW,12-01-05,0.358580378,0.966099977,-0.199999988,0.192283881,0.036973091
Jan_09,NSW,01-01-06,0.359218254,0.992999971,-0.199999988,0.206632811,0.042697118
Jan_09,NSW,02-01-06,0.358147686,0.97329998,-0.199999988,0.205099252,0.042065703
Jan_09,NSW,03-01-06,0.363126396,0.973999977,-0.199999988,0.207308856,0.042976962
Jan_09,NSW,04-01-06,0.36618038,0.98269999,-0.199999988,0.203730693,0.041506195
Jan_09,NSW,05-01-06,0.362763503,0.985699952,-0.199999988,0.201277621,0.040512681
Jan_09,NSW,06-01-06,0.387080326,0.986699998,-0.199999988,0.193259918,0.037349396
Jan_09,NSW,07-01-06,0.444227353,0.974599957,-0.199999988,0.177458841,0.03149164
Jan_09,NSW,08-01-06,0.447574744,0.979999959,-0.199999988,0.180443728,0.032559939
Jan_09,NSW,09-01-06,0.390498782,0.974999964,-0.199999988,0.183938364,0.033833322
Jan_09,NSW,10-01-06,0.331553543,0.992199957,-0.199999988,0.179786505,0.032323187
Jan_09,NSW,11-01-06,0.316723031,0.989899993,-0.199999988,0.181054716,0.03278081
Jan_09,NSW,12-01-06,0.309377259,0.979999959,-0.199999988,0.180071633,0.032425793
Jan_09,NSW,01-01-07,0.30968594,0.986799955,-0.199999988,0.179098249,0.032076183
Jan_09,NSW,02-01-07,0.32129933,0.97179997,-0.199999988,0.185191393,0.034295852
Jan_09,NSW,03-01-07,0.363577951,0.976399958,-0.199999988,0.214540623,0.046027679
Jan_09,NSW,04-01-07,0.361579566,0.98089999,-0.199999988,0.208313068,0.043394334
Jan_09,NSW,05-01-07,0.434657675,0.979999959,-0.199999988,0.193038653,0.037263921
Jan_09,NSW,06-01-07,0.487715006,0.968699992,-0.199999988,0.185326156,0.034345784
Jan_09,NSW,07-01-07,0.491834618,0.973549962,-0.199999988,0.185913203,0.034563719
Jan_09,NSW,08-01-07,0.467584916,0.979699969,-0.199999988,0.206939038,0.042823765
Jan_09,NSW,09-01-07,0.397514088,0.95449996,-0.199999988,0.199675839,0.039870441
Jan_09,NSW,10-01-07,0.344548323,0.95449996,-0.199999988,0.188172277,0.035408806
Jan_09,NSW,11-01-07,0.339336839,0.99939996,-0.199999988,0.202490149,0.04100226
Jan_09,NSW,12-01-07,0.374419783,0.982899964,-0.199999988,0.206996619,0.0428476
Jan_09,NSW,01-01-08,0.397123669,0.997500002,-0.199999988,0.212198625,0.045028257
Jan_09,NSW,02-01-08,0.411934679,0.966099977,-0.199999988,0.214101716,0.045839545
Jan_09,NSW,03-01-08,0.382396232,0.975099981,-0.199999988,0.208468829,0.043459253
Jan_09,NSW,04-01-08,0.37216764,0.977499962,-0.199999988,0.207733435,0.04315318
Jan_09,NSW,05-01-08,0.376230218,0.969599962,-0.199999988,0.205264387,0.042133469
Jan_09,NSW,06-01-08,0.40901694,0.986899972,-0.199999988,0.200824662,0.040330545
Jan_09,NSW,07-01-08,0.418643882,0.969599962,-0.199999988,0.196487999,0.038607534
Jan_09,NSW,08-01-08,0.41457621,0.985099971,-0.199999988,0.202581269,0.04103917
Jan_09,NSW,09-01-08,0.411677411,0.976699948,-0.199999988,0.209861464,0.044041834
Jan_09,NSW,10-01-08,0.360082019,0.966600001,-0.199999988,0.202157598,0.040867694
Jan_09,NSW,11-01-08,0.349936231,0.997599959,-0.199999988,0.205124467,0.042076047
Jan_09,NSW,12-01-08,0.356946658,0.944966674,-0.199999988,0.202831549,0.041140637
Jan_09,NSW,01-01-09,0.331997751,1.051999927,-0.257200003,0.195517992,0.038227285
Jan_09,NSW,02-01-09,0.340742836,0.972899973,-0.215199992,0.200091823,0.040036738
Jan_09,NSW,03-01-09,0.362675768,1.019899964,-0.254000008,0.208690711,0.043551813
Jan_09,NSW,04-01-09,0.374520704,0.970099986,-0.218649998,0.211049236,0.04454178
Jan_09,NSW,05-01-09,0.398389494,0.97329998,-0.284700006,0.212756909,0.045265502
Jan_09,NSW,06-01-09,0.445159305,0.995899975,-0.222199991,0.202705682,0.041089594
Jan_09,NSW,07-01-09,0.475210666,0.967199981,-0.257999986,0.202365271,0.040951703
Jan_09,NSW,08-01-09,0.45326355,1.012899995,-0.231999993,0.210060574,0.044125445
Jan_09,NSW,09-01-09,0.389030681,1.004699945,-0.272199988,0.198573855,0.039431576
Jan_09,NSW,10-01-09,0.339985519,0.970299959,-0.245249987,0.192223251,0.036949778
Jan_09,NSW,11-01-09,0.314231173,0.970099986,-0.221499994,0.183808002,0.033785382
Jan_09,NSW,12-01-09,0.334200678,0.967199981,-0.222233325,0.181603882,0.03297997
Jan_09,NSW,01-01-10,0.364241593,1.031999946,-0.281499982,0.208677093,0.043546129
Jan_09,NSW,02-01-10,0.419925707,0.988499999,-0.220049992,0.210188885,0.044179367
Jan_09,NSW,03-01-10,0.451852377,1.057600021,-0.256899983,0.193561694,0.037466129
Jan_09,NSW,04-01-10,0.444067434,1.044999957,-0.262400001,0.196486552,0.038606965
Jan_09,NSW,05-01-10,0.443009885,1.060299993,-0.256999999,0.192665145,0.037119858
Jan_09,NSW,06-01-10,0.468602732,1.041499972,-0.316199988,0.186927585,0.034941922
Jan_09,NSW,07-01-10,0.496835022,1.092199922,-0.239599988,0.190673847,0.036356516
Jan_09,NSW,08-01-10,0.523177276,0.96419996,-0.300599992,0.193403949,0.037405088
Jan_09,NSW,09-01-10,0.526983532,1.003000021,-0.233249992,0.192905295,0.037212453
Jan_09,NSW,10-01-10,0.487569799,0.942749977,-0.250750005,0.194841405,0.037963173
Jan_09,NSW,11-01-10,0.451908095,1.054099917,-0.272300005,0.186892311,0.034928736
Jan_09,NSW,12-01-10,0.462591429,0.965999961,-0.244799986,0.18019549,0.032470415
Jan_09,NSW,01-01-11,0.447797872,1.004699945,-0.268399984,0.182956198,0.03347297
Jan_09,NSW,02-01-11,0.473266736,1.104200006,-0.298199981,0.174529528,0.030460556
Jan_09,NSW,03-01-11,0.48695363,1.054299951,-0.297299981,0.182069704,0.033149377
Jan_09,NSW,04-01-11,0.483529651,1.05129993,-0.317900002,0.18528406,0.034330183
Jan_09,NSW,05-01-11,0.468125291,1.098099947,-0.303799987,0.185601874,0.034448056
Jan_09,NSW,06-01-11,0.46143888,1.102399945,-0.302100003,0.182825759,0.033425258
Jan_09,NSW,07-01-11,0.459491124,1.101099968,-0.285299987,0.182751726,0.033398193
Jan_09,NSW,08-01-11,0.469058002,0.976699948,-0.223549992,0.186620818,0.03482733
Jan_09,NSW,09-01-11,0.45360203,1.09070003,-0.337099999,0.191915695,0.036831634
Jan_09,NSW,10-01-11,0.420563327,1.004199982,-0.271099985,0.191583795,0.03670435
Jan_09,NSW,11-01-11,0.404595163,1.025099993,-0.287599981,0.196639854,0.038667232
Jan_09,NSW,12-01-11,0.42570449,0.986899972,-0.207366675,0.187055298,0.034989685
Jan_09,NSW,01-01-12,0.392460991,1.102800012,-0.320600003,0.179355684,0.032168462
Jan_09,NSW,02-01-12,0.446051479,0.966600001,-0.217950001,0.199586793,0.039834888
Jan_09,NSW,03-01-12,0.499478857,0.98939997,-0.225449994,0.184381405,0.033996502
Jan_09,NSW,04-01-12,0.487111597,1.032599926,-0.232049987,0.185657499,0.034468707
Jan_09,NSW,05-01-12,0.468868395,1.050099969,-0.226149991,0.18590173,0.034559453
Jan_09,NSW,06-01-12,0.470095199,1.067899942,-0.260399997,0.184400011,0.034003364
Jan_09,NSW,07-01-12,0.477545473,0.984200001,-0.257499993,0.182219235,0.033203849
Jan_09,NSW,08-01-12,0.461503757,0.964899957,-0.272799999,0.180230874,0.032483168
Jan_09,NSW,09-01-12,0.437116166,0.976399958,-0.246849999,0.180564523,0.032603547
Jan_09,NSW,10-01-12,0.385839444,0.934699953,-0.237949997,0.175238665,0.03070859
Jan_09,NSW,11-01-12,0.351425837,1.045499921,-0.2491,0.177446977,0.03148743
Jan_09,NSW,12-01-12,0.348178997,0.956499994,-0.242499992,0.183805965,0.033784633
Jan_09,NSW,01-01-13,0.348071246,0.996799946,-0.199999988,0.191555564,0.036693534
Jan_09,NSW,02-01-13,0.365721911,0.972899973,-0.199999988,0.196581463,0.038644272
Jan_09,NSW,03-01-13,0.419477102,0.976699948,-0.199999988,0.216164947,0.046727284
Jan_09,NSW,04-01-13,0.405171596,0.989099979,-0.199999988,0.211653819,0.044797339
Jan_09,NSW,05-01-13,0.410032525,0.989899993,-0.199999988,0.203885516,0.041569304
Jan_09,NSW,06-01-13,0.460621154,0.98269999,-0.199999988,0.191519678,0.036679787
Jan_09,NSW,07-01-13,0.512430365,0.975899994,-0.199999988,0.194382406,0.03778452
Jan_09,NSW,08-01-13,0.492802998,0.968199968,-0.199999988,0.205259444,0.042131439
Jan_09,NSW,09-01-13,0.434629044,0.985099971,-0.199999988,0.204768039,0.04192995
Jan_09,NSW,10-01-13,0.359725486,0.942299962,-0.199999988,0.182475421,0.033297279
Jan_09,NSW,11-01-13,0.328432366,0.996799946,-0.199999988,0.180084893,0.032430569
Jan_09,NSW,12-01-13,0.334117032,0.975299954,-0.199999988,0.188980128,0.035713489
Jan_09,NSW,01-01-14,0.320179051,0.995499969,-0.199999988,0.178057195,0.031704365
Jan_09,NSW,02-01-14,0.333172583,0.976099968,-0.199999988,0.179729014,0.032302518
Jan_09,NSW,03-01-14,0.412400152,0.978199959,-0.199999988,0.202382814,0.040958803
Jan_09,NSW,04-01-14,0.487625803,0.991400003,-0.199999988,0.21059621,0.044350764
Jan_09,NSW,05-01-14,0.495688543,0.979499996,-0.199999988,0.201445676,0.04058036
Jan_09,NSW,06-01-14,0.513229364,0.987800002,-0.199999988,0.201366346,0.040548405
Jan_09,NSW,07-01-14,0.484491735,0.98179996,-0.199999988,0.206719418,0.042732918
Jan_09,NSW,08-01-14,0.468967436,0.986799955,-0.199999988,0.206100296,0.042477332
Jan_09,NSW,09-01-14,0.433915404,0.966600001,-0.199999988,0.202600082,0.041046793
Jan_09,NSW,10-01-14,0.357798013,0.97179997,-0.199999988,0.189577184,0.035939509
Jan_09,NSW,11-01-14,0.324827202,0.996899962,-0.199999988,0.181711267,0.033018984
Jan_09,NSW,12-01-14,0.360015313,0.981299996,-0.199999988,0.201517277,0.040609213
Jan_09,NSW,01-01-15,0.398910486,0.998999953,-0.199999988,0.211744677,0.044835808
Jan_09,NSW,02-01-15,0.386077799,0.97359997,-0.199999988,0.212877929,0.045317012
Jan_09,NSW,03-01-15,0.369387747,0.98029995,-0.199999988,0.208778053,0.043588276
Jan_09,NSW,04-01-15,0.402294041,0.987499952,-0.199999988,0.211968856,0.044930796
Jan_09,NSW,05-01-15,0.444386215,0.991999984,-0.199999988,0.20995359,0.04408051
Jan_09,NSW,06-01-15,0.487744341,0.995700002,-0.199999988,0.196570389,0.038639918
Jan_09,NSW,07-01-15,0.520228864,0.993900001,-0.199999988,0.196024979,0.038425792
Jan_09,NSW,08-01-15,0.525018835,0.977499962,-0.199999988,0.206603083,0.042684834
Jan_09,NSW,09-01-15,0.465349822,0.980699956,-0.199999988,0.211403528,0.044691452
Jan_09,NSW,10-01-15,0.392739102,0.973999977,-0.199999988,0.201556561,0.040625047
Jan_09,NSW,11-01-15,0.370744919,0.994399965,-0.199999988,0.201007603,0.040404056
Jan_09,NSW,12-01-15,0.360202255,0.995099962,-0.206199989,0.198620465,0.039450089
